job_type,input_size_mb,num_partitions,num_stages,num_tasks,peak_memory_mb,cpu_seconds,execution_time_sec,hour_of_day
small,2.0,8,2,16,47.61,0.0077,0.9332,0
medium,6.0,4,17,40,54.81,0.0023,1.9238,0
small,2.0,4,19,48,56.91,0.0027,0.1045,0
medium,1.5,16,34,108,57.02,0.0015,0.305,0
large,0.06,4,42,140,57.39,0.0215,0.4126,0
large,0.6,16,50,268,58.73,0.0232,1.4022,0
medium,1.5,2,65,286,58.8,0.0016,0.2618,0
large,0.06,8,78,390,58.55,0.0351,0.9742,0
large,0.3,4,86,422,57.92,0.0208,0.4144,0
large,0.6,4,99,474,58.88,0.0323,0.8086,0
small,2.0,2,101,478,58.89,0.0023,0.0802,0
medium,15.0,8,116,526,48.7,0.0062,3.5665,0
small,10.0,4,118,534,48.72,0.007,0.19,0
small,5.0,2,120,538,48.7,0.0024,0.147,0
large,0.6,16,128,666,49.91,0.0286,1.3158,0
small,2.0,2,130,670,73.05,0.0024,0.0856,0
small,10.0,2,132,674,72.92,0.0084,0.2418,0
medium,1.5,4,147,698,72.7,0.0015,0.2381,0
large,0.06,8,153,746,72.23,0.011,0.4736,0
small,10.0,2,155,750,72.33,0.011,0.2494,0
medium,1.5,8,170,786,72.39,0.0013,0.2159,0
large,0.6,4,178,818,73.42,0.0165,0.469,0
large,0.6,16,184,914,73.5,0.0275,0.837,0
small,2.0,8,186,930,73.52,0.0027,0.0789,0
medium,15.0,2,201,960,73.36,0.012,0.6791,0
medium,1.5,8,216,996,73.41,0.0013,0.1939,0
large,0.06,16,222,1092,73.41,0.0243,0.7523,0
medium,15.0,16,237,1164,73.41,0.0063,0.6393,0
small,2.0,4,239,1172,73.42,0.0022,0.0757,0
medium,1.5,8,254,1208,73.44,0.0014,0.1895,0
small,5.0,16,256,1240,73.44,0.0029,0.1839,0
large,0.6,4,262,1264,73.3,0.0141,0.3677,0
medium,6.0,8,277,1300,50.28,0.0019,0.4793,0
medium,15.0,8,292,1348,50.33,0.0015,0.6075,0
large,0.6,8,305,1452,50.5,0.0366,1.1703,0
small,2.0,16,307,1484,50.58,0.0102,0.1706,0
small,2.0,2,309,1488,50.58,0.0024,0.092,0
large,0.3,16,315,1584,49.62,0.0349,0.8585,0
medium,15.0,8,330,1632,49.28,0.0088,0.7413,0
large,0.06,8,336,1680,49.03,0.0117,0.4019,0
medium,1.5,2,3,6,1024.0,7.3888,3.6944,15
large,0.6,2,3,6,2048.0,2.358,1.179,15
medium,1.5,2,3,6,1024.0,0.5936,0.2968,15
medium,15.0,8,3,24,1024.0,5.9496,0.7437,15
large,0.06,8,3,24,2048.0,5.7168,0.7146,15
large,0.06,8,3,24,2048.0,3.7752,0.4719,15
medium,6.0,8,3,24,1024.0,3.7512,0.4689,15
small,2.0,4,3,12,512.0,0.3188,0.0797,15
medium,1.5,4,3,12,1024.0,0.8956,0.2239,15
small,5.0,4,3,12,512.0,0.4036,0.1009,15
small,5.0,4,3,12,512.0,0.44,0.11,15
large,0.6,2,3,6,2048.0,0.7008,0.3504,15
small,10.0,4,3,12,512.0,0.6856,0.1714,15
small,10.0,4,3,12,512.0,0.704,0.176,15
large,0.06,4,3,12,2048.0,2.5408,0.6352,15
small,5.0,4,3,12,512.0,4.44,1.11,15
small,2.0,4,3,12,512.0,0.4184,0.1046,15
small,5.0,4,3,12,512.0,0.5332,0.1333,15
small,10.0,4,3,12,512.0,0.738,0.1845,15
small,10.0,4,3,12,512.0,0.7364,0.1841,15
medium,6.0,8,3,24,1024.0,14.168,1.771,15
medium,15.0,8,3,24,1024.0,5.432,0.679,15
medium,1.5,2,3,6,1024.0,0.4224,0.2112,15
medium,1.5,2,3,6,1024.0,0.3888,0.1944,15
medium,1.5,4,3,12,1024.0,0.75,0.1875,15
large,0.6,2,3,6,2048.0,0.7036,0.3518,15
large,0.06,8,3,24,2048.0,4.856,0.607,15
large,0.06,8,3,24,2048.0,3.1856,0.3982,15
large,0.6,2,3,6,2048.0,1.649,0.8245,15
large,0.06,4,3,12,2048.0,2.518,0.6295,15
small,2.0,8,2,16,43.41,0.0098,0.8468,15
medium,6.0,4,17,40,55.02,0.0028,2.0305,15
small,2.0,4,19,48,55.31,0.0024,0.1018,15
medium,1.5,16,34,108,55.41,0.002,0.3306,15
large,0.06,4,42,140,55.78,0.0233,0.4438,15
large,0.6,16,50,268,46.8,0.0271,1.4478,15
medium,1.5,2,65,286,50.94,0.0036,0.2767,15
large,0.06,8,78,390,48.48,0.0369,1.1104,15
large,0.3,4,86,422,49.33,0.0149,0.4544,15
large,0.6,4,99,474,50.33,0.0382,0.8342,15
small,2.0,2,101,478,50.52,0.0022,0.0914,15
medium,15.0,8,116,526,43.84,0.0064,0.7899,15
small,10.0,4,118,534,48.11,0.004,0.2088,15
small,5.0,2,120,538,48.25,0.0023,0.1446,15
large,0.6,16,128,666,49.67,0.0253,1.2647,15
small,2.0,2,130,670,73.5,0.0021,0.0825,15
small,10.0,2,132,674,73.5,0.0022,0.2489,15
medium,1.5,4,147,698,73.52,0.0021,0.2245,15
large,0.06,8,153,746,73.3,0.013,0.4116,15
small,10.0,2,155,750,73.3,0.0027,0.2545,15
medium,1.5,8,170,786,73.22,0.0021,0.1906,15
large,0.6,4,178,818,73.97,0.0141,0.4586,15
large,0.6,16,184,914,74.02,0.029,0.9132,15
small,2.0,8,186,930,74.03,0.0026,0.0838,15
medium,15.0,2,201,960,74.03,0.014,0.586,15
medium,1.5,8,216,996,73.09,0.0014,0.1941,15
large,0.06,16,222,1092,48.81,0.0306,0.9054,15
medium,15.0,16,237,1164,49.7,0.0017,0.5332,15
small,2.0,4,239,1172,49.8,0.0136,0.0719,15
medium,1.5,8,254,1208,49.67,0.0013,0.1964,15
small,5.0,16,256,1240,49.52,0.0034,0.1914,15
large,0.6,4,262,1264,50.31,0.0155,0.3412,15
medium,6.0,8,277,1300,50.36,0.0014,0.3841,15
medium,15.0,8,292,1348,50.36,0.0118,0.5076,15
large,0.6,8,305,1452,50.45,0.0421,1.1387,15
small,2.0,16,307,1484,50.45,0.0031,0.175,15
small,2.0,2,309,1488,50.42,0.0024,0.0902,15
large,0.3,16,315,1584,48.27,0.0423,0.9797,15
medium,15.0,8,330,1632,48.61,0.0098,0.6533,15
large,0.06,8,336,1680,33.45,0.0274,0.6112,15
small,2.0,8,2,16,66.97,0.0074,3.8842,15
medium,6.0,4,17,40,69.66,0.0024,2.0489,15
small,2.0,4,19,48,69.98,0.0027,0.0923,15
medium,1.5,16,34,108,70.06,0.0016,0.3126,15
large,0.06,4,42,140,70.36,0.0244,0.4465,15
large,0.6,16,50,268,37.28,0.0258,1.516,15
medium,1.5,2,65,286,47.73,0.0043,0.2758,15
large,0.06,8,78,390,48.34,0.0393,1.1954,15
large,0.3,4,86,422,49.34,0.0145,0.4321,15
large,0.6,4,99,474,37.84,0.0421,0.95,15
small,2.0,2,101,478,49.88,0.0027,0.0882,15
medium,15.0,8,116,526,49.2,0.0085,0.7535,15
small,10.0,4,118,534,49.22,0.0022,0.1955,15
small,5.0,2,120,538,49.25,0.0101,0.153,15
large,0.6,16,128,666,50.33,0.0272,1.3552,15
small,2.0,2,130,670,73.45,0.0024,0.0906,15
small,10.0,2,132,674,73.47,0.0021,0.2552,15
medium,1.5,4,147,698,73.16,0.0117,0.2559,15
large,0.06,8,153,746,73.22,0.011,0.445,15
small,10.0,2,155,750,73.25,0.01,0.2576,15
medium,1.5,8,170,786,73.28,0.0017,0.2347,15
large,0.6,4,178,818,73.77,0.0152,0.4723,15
large,0.6,16,184,914,73.83,0.0263,0.8886,15
small,2.0,8,186,930,73.83,0.0027,0.0847,15
medium,15.0,2,201,960,72.98,0.0097,0.6146,15
medium,1.5,8,216,996,73.05,0.0015,0.1937,15
large,0.06,16,222,1092,49.92,0.0264,0.8644,15
medium,15.0,16,237,1164,49.81,0.0066,0.5444,15
small,2.0,4,239,1172,49.89,0.0028,0.0793,15
medium,1.5,8,254,1208,49.89,0.0016,0.1971,15
small,5.0,16,256,1240,49.86,0.0138,0.2005,15
large,0.6,4,262,1264,50.05,0.0118,0.3524,15
medium,6.0,8,277,1300,50.0,0.0016,0.4074,15
medium,15.0,8,292,1348,49.98,0.0072,0.5062,15
large,0.6,8,305,1452,49.98,0.0412,1.1951,15
small,2.0,16,307,1484,50.06,0.0059,0.1537,15
small,2.0,2,309,1488,50.06,0.0022,0.0846,15
large,0.3,16,315,1584,48.31,0.0365,0.9167,15
medium,15.0,8,330,1632,49.3,0.0019,0.5504,15
large,0.06,8,336,1680,49.55,0.0264,0.4228,15
small,2.0,8,2,16,64.02,0.0067,0.9882,14
medium,6.0,4,17,40,67.92,0.0022,1.9802,14
small,2.0,4,19,48,68.03,0.0024,0.0972,14
medium,1.5,16,34,108,68.12,0.0016,0.289,14
large,0.06,4,42,140,68.48,0.0213,0.4029,14
large,0.6,16,50,268,69.98,0.0255,1.3981,14
medium,1.5,2,65,286,70.0,0.0014,0.2447,14
large,0.06,8,78,390,70.0,0.03,0.9857,14
large,0.3,4,86,422,70.25,0.0165,0.4312,14
large,0.6,4,99,474,70.91,0.0338,0.7924,14
small,2.0,2,101,478,70.91,0.0021,0.0782,14
medium,15.0,8,116,526,70.92,0.0079,0.6448,14
small,10.0,4,118,534,70.94,0.0021,0.1691,14
small,5.0,2,120,538,70.94,0.0021,0.1321,14
large,0.6,16,128,666,70.94,0.0336,1.1563,14
small,2.0,2,130,670,75.94,0.0021,0.0777,14
small,10.0,2,132,674,75.94,0.0069,0.2603,14
medium,1.5,4,147,698,75.94,0.0018,0.2214,14
large,0.06,8,153,746,75.94,0.0103,0.3707,14
small,10.0,2,155,750,75.94,0.002,0.2583,14
medium,1.5,8,170,786,75.94,0.0014,0.188,14
large,0.6,4,178,818,75.95,0.0138,0.4493,14
large,0.6,16,184,914,75.95,0.0309,0.8254,14
